numero,annee,article,bureau,code_commission,code_imp,commissionnaire,importateur,numero.1,origine,produit,provenance,regime,date,libelle_produit,origine_encoded,provenance_encoded,importateur_encoded,commissionnaire_encoded,regime_encoded,pays_correspondance,transaction_repetitivite,risk_score,risk_category
37936,2019,1,19C,26871,100308,Dunus,Benulaubobitus,18776,CONGO,8418109000,SUISSE,8797,20/12/2019,#NOM?,24,91,1302,205,67,0,0.029069767441860468,0.6114144856894381,Orange (Risque Modéré)
37937,2018,2,15M,29634,31250,Ebonulauboes,Bibobugusbutor,17466,SÉNÉGAL,307510000,SÉNÉGAL,5525,05/10/2018,"- POULPES OU PIEUVRES (OCTOPUS SPP.) :-- VIVANTS,FRAIS OU REFRIGERES ",96,93,1377,211,40,1,0.06976744186046512,0.1622905019584151,Vert (Risque Faible)
37938,2018,1,15M,29634,31250,Ebonulauboes,Bibobugusbutor,17467,SÉNÉGAL,302890000,SÉNÉGAL,5525,05/10/2018,"-AUTRES POISSONS, À L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0302.91 À 0302.99:
-- AUTRES",96,93,1377,211,40,1,0.06976744186046512,0.04670009190100369,Vert (Risque Faible)
37939,2018,2,15M,29634,31250,Ebonulauboes,Bibobugusbutor,17467,SÉNÉGAL,302890000,SÉNÉGAL,5525,05/10/2018,"-AUTRES POISSONS, À L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0302.91 À 0302.99:
-- AUTRES",96,93,1377,211,40,1,0.06976744186046512,0.16628853671907312,Vert (Risque Faible)
37940,2019,1,19C,6479,6479,Dibobebucio,Dibobebucio,18824,TUNISIE,1602509000,TUNISIE,9268,20/12/2019,#NOM?,104,99,1955,151,73,1,0.046511627906976744,0.2698905002513722,Vert (Risque Faible)
37941,2018,9,10S,28681,81406,Alfrifrilius,Begusbolus,11525,CHINE,8451210000,CHINE,8797,20/12/2017,- Machines a secher :-- D une capacite unitaire exprimee en poids de linge sec n excedant pas 10kg                                                                                                                                                             ,21,21,1278,26,67,1,0.06686046511627906,0.2441053563125568,Vert (Risque Faible)
37942,2018,10,10S,28681,81406,Alfrifrilius,Begusbolus,11525,CHINE,4421909100,CHINE,8797,20/12/2017,#NOM?,21,21,1278,26,67,1,0.06686046511627906,0.1976655792998178,Vert (Risque Faible)
37943,2019,1,19C,33309,33309,Bafrigusnulius,Agubues,18850,ÉMIRATS ARABES UNIS,8528719000,ÉMIRATS ARABES UNIS,1450,11/11/2019,#NOM?,109,105,178,78,3,1,1.0,0.5624772758138759,Orange (Risque Modéré)
37944,2018,11,10S,28681,81406,Alfrifrilius,Begusbolus,11525,CHINE,8481800000,CHINE,8797,20/12/2017,#NOM?,21,21,1278,26,67,1,0.06686046511627906,0.12722224141264088,Vert (Risque Faible)
37945,2018,1,15M,29634,31250,Ebonulauboes,Bibobugusbutor,17468,SÉNÉGAL,302890000,SÉNÉGAL,5525,05/10/2018,"-AUTRES POISSONS, À L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0302.91 À 0302.99:
-- AUTRES",96,93,1377,211,40,1,0.06976744186046512,0.1500488783389871,Vert (Risque Faible)
37946,2019,4,19C,91861,46987,Banus,Dibunulius,18859,ESPAGNE,8516609000,ESPAGNE,8797,11/11/2019,#NOM?,33,33,2001,83,67,1,0.0,0.22956736208136921,Vert (Risque Faible)
37947,2019,5,19C,41762,117403,Dunulaugusbelus,Eunulaububibutus,18885,ITALIE,8516609000,ITALIE,8797,11/11/2019,#NOM?,52,54,2945,203,67,1,0.0,0.03883691308710089,Vert (Risque Faible)
37948,2018,2,10S,91283,98301,Dububudabebucus,Dafrifries,11526,CHINE,9403400000,CHINE,8797,20/12/2017,#NOM?,21,21,1832,193,67,1,0.017441860465116282,0.13911461670071543,Vert (Risque Faible)
37949,2018,1,15M,29634,31250,Ebonulauboes,Bibobugusbutor,17469,SÉNÉGAL,302890000,SÉNÉGAL,5525,05/10/2018,"-AUTRES POISSONS, À L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0302.91 À 0302.99:
-- AUTRES",96,93,1377,211,40,1,0.06976744186046512,0.31570492495429225,Vert (Risque Faible)
37950,2018,2,15M,29634,31250,Ebonulauboes,Bibobugusbutor,17469,SÉNÉGAL,302890000,SÉNÉGAL,5525,05/10/2018,"-AUTRES POISSONS, À L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0302.91 À 0302.99:
-- AUTRES",96,93,1377,211,40,1,0.06976744186046512,0.03567384748679106,Vert (Risque Faible)
37951,2019,1,19C,6352,28902,Diguslius,Bifribonus,18917,INDE,8704211990,SÉNÉGAL,1159,11/11/2019,"- AUTRES, À MOTEUR-- D'UN POIDS EN CHARGE MAXIMAL N'EXCÉDANT PAS 5 TONNES :--- NEUFS :---- AUTRES :----- AUTRES",46,93,1438,164,1,0,0.026162790697674417,0.43634605429814843,Orange (Risque Modéré)
37952,2018,3,15M,29634,31250,Ebonulauboes,Bibobugusbutor,17469,SÉNÉGAL,302890000,SÉNÉGAL,5525,05/10/2018,"-AUTRES POISSONS, À L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0302.91 À 0302.99:
-- AUTRES",96,93,1377,211,40,1,0.06976744186046512,0.025324075661552786,Vert (Risque Faible)
37953,2019,1,19C,24598,121986,Abibebotor,Agubefrinules,18935,ROYAUME-UNI,8701201000,ROYAUME-UNI,9268,11/11/2019,#NOM?,83,81,165,1,73,1,0.0,0.19160780950613188,Vert (Risque Faible)
37954,2018,1,15M,112829,25755,Andafritin,Abobebobebicio,17470,CHINE,303890000,CHINE,5240,05/10/2018,"-AUTRES POISSONS À L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0303.91 À 0303.99:
-- AUTRES",21,21,52,40,36,1,0.14825581395348836,0.17082340698486786,Vert (Risque Faible)
